,T054_PPD,T054_BCG,T054_B1,T051_PPD,T051_BCG,T051_B1,T048_PPD,T048_BCG,T048_B1,T047_PPD,T047_BCG,T047_B1,T042_PPD,T042_BCG,T042_B1,T039_PPD,T039_BCG,T039_B1,T038_PPD,T038_BCG,T038_B1,T035_PPD,T035_BCG,T035.B1,T033_PPD,T033_BCG,T033.B1,T032_PPD,T032_BCG,T032_B1,T031_PPD,T031_BCG,T031_B1,T026_PPD,T026_BCG,T026_B1,T025_PPD,T025_BCG,T025_B1,T016_PPD,T016_BCG,T016_B1,T015_PPD,T015_BCG,T015_B1,T014_PPD,T014_BCG,T014_B1,T013_PPD,T013_BCG,T013_B1,T011_PPD,T011_BCG,T011_B1
Megakaryocytes,7.00E-20,0.000676851,0,0,0.000550981,0.001565705,3.75E-19,2.13E-20,0,0,5.90E-05,0.000166399,9.77E-21,0.001379731,0.000430936,1.66E-20,0.00027355,0.000931382,0,0,0,0,0.004017822,0.0002693,2.35E-20,0.000575784,0,0,0,0,0,0,6.42E-20,0,0,1.14E-20,5.57E-05,0.000215544,0,0,6.92E-19,0,0,1.04E-21,0,0,0.001341495,0.001967055,1.02E-19,1.94E-19,0,7.07E-20,3.72E-20,4.74E-05
Monocytes,0.026197724,0.002973812,0,0,0.012148958,2.52E-20,0.028694091,3.52E-18,0,7.93E-19,0,0,1.49E-19,0.021606418,0.00028428,0.012886746,0.021646534,0.00041811,0.026907012,1.38E-19,2.45E-18,0.026680886,0.006189793,0,0.020368659,0.016164194,0,0.033577621,0.02092554,0.00052316,0.02531625,0.004071864,0.004387255,0.005644884,0.006855927,0.004327825,0.000492882,0.008167269,0.003101711,0.033016793,0.046196821,0.000902162,0.01652879,4.79E-19,0,0.02083187,0.004010533,0.013456487,0.017324333,0.020296332,0.012565131,0.084619706,0.042787184,0.015110977
Myocytes,0,3.58E-20,0,3.41E-19,4.57E-20,6.38E-20,0,0,5.24E-19,0.000798288,0,5.96E-21,7.62E-19,0,3.07E-19,0,3.43E-20,0,0,6.69E-19,0,0,0,0.000630978,0,0,3.45E-19,2.44E-19,0,0,2.36E-20,0,0,0,0,1.37E-19,0,0,0,0,1.18E-19,3.45E-22,6.63E-19,9.76E-19,0,0,0.001722211,0.002124619,0.001123592,0,4.44E-20,4.03E-19,1.11E-19,1.07E-19
naive B-cells,0.006242028,1.25E-19,0,0.006308496,0.0004017,0,0.02544387,2.43E-19,1.23E-18,0.00182389,1.01E-19,3.17E-19,0.013251262,6.85E-20,0,0.009654056,0.000673074,0,0.009004862,0.012905531,0.00660426,3.41E-19,0,0,0.013846186,0.002498012,0,0.004299402,2.29E-22,4.38E-19,0.000356179,0,0,0.009576668,3.05E-19,0,0.020092875,0,3.30E-19,0.00686492,0,2.03E-19,0.016755728,3.01E-05,0,0.012101256,1.90E-19,0,0.009194536,0.002250015,4.71E-19,0,0.002242776,0
Neutrophils,0.00253967,4.08E-19,0.00099014,4.22E-19,0,0.00079964,2.21E-05,0,0,0,0,0,2.34E-19,0,0.000177514,0.001079229,1.35E-23,0,0.001994185,0,0,0.016070802,0.002048844,0.008950169,9.65E-20,0,0,0.005415828,0.001341936,0,0,2.79E-19,9.41E-20,4.20E-19,0,0,0.00019589,4.64E-19,1.14E-19,0.003629105,0.002045118,0.004444659,0.003650199,2.84E-19,0,0.001227465,0,1.68E-20,0.003261801,0.005808605,0,0.005577154,0.007131744,0.016180457
NK cells,0.004132976,5.01E-18,1.82E-18,0.033329979,2.56E-19,1.92E-18,1.45E-17,1.13E-19,8.23E-19,0.025836142,0,2.06E-18,0.025529138,0,2.14E-18,0.027636043,6.04E-19,0,2.55E-20,0.03110146,0.003344905,0,0,0,0.04260084,0.016771276,3.68E-19,0.01941331,2.16E-19,0.001414457,2.04E-18,0,6.12E-18,4.80E-19,2.53E-18,7.69E-19,0.032197741,2.52E-20,5.69E-19,0.03185959,0,0,0.014754843,0,1.90E-17,0.017599408,0,6.40E-18,0,5.69E-18,8.66E-18,1.16E-17,5.03E-20,0.008028332
NKT,0,0.035453,0.03604605,0.01901536,0.017788241,0.001278079,0,0.02031969,0.015068231,0,0,0,0,5.21E-19,0,2.49E-18,0.013457339,0.010599858,0.005436033,0,7.64E-19,0,0,1.77E-17,0,0.001254973,0.019826197,0.002795904,0.021995828,0.006125415,0.033217104,0.023968985,0.010706915,3.99E-18,0.041029222,0.04263071,0.00651894,0.032133981,0.033808728,0.021218957,0,0,0,0.054830546,0.075642388,2.37E-19,0.02329456,0.025360024,0,0.068321666,0.034464547,0.030145152,0.020017103,0.003332453
pDC,0.055369633,2.22E-19,3.70E-19,0.060643628,0.005025721,0.001738656,0.200294507,0.000195485,3.09E-20,0.061525676,0,8.00E-20,0.14775604,0.002694548,2.39E-20,0.088211513,0.004357753,0,0.022219674,0.038282741,0.006589357,0.003463367,0,0,0.183336219,0.040690853,2.01E-19,0.038912365,0.004667479,1.55E-19,0.000232972,0.002198454,0,0.070354977,0.004548672,0,0.139301578,0.001617986,4.91E-20,0.048199669,0.007093008,0.004527941,0.139846947,0.00234016,9.49E-20,0.085656339,0,0,0.089138162,0.02332679,2.05E-19,0.037810215,0.017822154,0.011847047
Plasma cells,0.010100362,0.001175843,3.07E-20,0.016474607,0.0012633,0.001756211,0.024948794,0.002476406,0.000291197,0.017347461,0.001262316,0,0.017556635,0,0.003808139,0.016288858,0.001902867,0.001218549,0.004327854,0.012119457,0.005579314,2.23E-20,9.40E-19,0,0.069474441,0.013906505,0.002987122,0.011018312,0.003557507,0.003639673,0.000188306,0.002306932,0.0010118,0.004291021,2.55E-20,7.81E-20,0.014022258,0.002707736,0.001470854,0.010522573,0.001301786,0,0.011521789,0.002863374,0.000794156,0.010439053,0,2.71E-21,0.018021594,0.005011587,3.85E-21,0.007458753,0.005244211,0.003446246
Platelets,0,0,0,0,0.002837462,0.00019248,0,0.00413535,0.000899424,3.14E-19,0.000644597,0.002140185,3.01E-19,0,0.003736946,7.03E-19,1.24E-19,0.001555208,0.001139096,0,0.001874799,0,3.44E-18,0,5.95E-20,0.001007633,0.005293895,2.17E-19,0,0.001125321,0.000336257,0.00128453,0.003739788,2.73E-18,0.003012804,0.006566192,0,0.003577364,0.004532258,0,0,0,0,0.004777931,5.20E-19,0,8.46E-19,3.03E-18,7.66E-19,0,0.003808936,0,0,0
Tgd cells,0.013355986,1.16E-18,1.81E-18,0.019404943,0.003569546,0,0.016942196,0,7.02E-19,0.028792524,0,0,0.025642692,0.004860062,0,0.023580938,0.002966847,0,0.020299479,0.026724735,0.004669879,0,5.97E-19,1.71E-18,0.040538631,0.0213229,0,0.026369902,0.004426236,0,2.43E-19,1.79E-18,0,0.009204986,0,0,0.013302015,5.46E-20,3.83E-19,0.024089952,0.005169808,0.001596516,0.028183986,6.34E-19,0,0.022723633,2.64E-19,2.61E-19,0.022723035,2.67E-19,6.20E-19,0.018623565,0.007885225,0.00086546
Th1 cells,0.004859961,0.00602772,7.42E-05,0.047881217,0.006766101,0.002120647,0.024290299,0.007610712,0.005528848,0.017540913,0,0.00047002,0.016999143,0.008486518,0.007714182,0.016695632,0.013359851,0.006048396,0.001405874,0.085031504,0.011218152,0.022709218,0,0.007167105,0.035146002,0.020102034,0.034354445,0.040897549,0.030031927,0.01026015,0.013544102,0.017408702,0.00724054,0.007250253,0.012553882,0.007036459,0.025755269,0.014047761,0.009587758,0.010974079,0.012189254,0.001067369,0.018343189,0.008028473,0.005498189,0.022664643,0.00631678,0.004425542,0,0.001756356,0,0.014297417,0.006116162,0.001049245
Th2 cells,0.006786391,0.00224122,1.72E-18,0.065048947,0.008615464,0.039228214,0.043926923,4.93E-19,1.60E-19,0.0628214,0,0.000652769,0.039237301,0.007487163,0.016878356,0.043311993,0.027680181,0.006051425,0.088027103,0.159324024,0.056717034,0.040578689,0.004653717,0.009298788,0.145370519,0.084082358,0.011623349,0.024436475,0.033700598,0.00175601,0.01903692,0.017138418,0,0.008454864,0.010697925,0,0.040785365,0.007045059,1.60E-19,0.040533036,0.01490067,0.006002153,0.084560528,6.26E-20,0,0.068452497,0,0.004242494,0.006581471,0,0,0.009264,0.007707537,0.056034373
Tregs,0.019146541,0.00145553,2.07E-18,0.081243782,0.01344621,3.66E-19,0.053408447,0.001899995,0,0.08753432,1.14E-21,1.81E-19,0.062122959,0.002095729,1.30E-18,0.023267216,9.01E-19,2.81E-22,0,4.47E-18,0,6.93E-19,0,0,0.045924832,0.012088806,0,0.010882389,1.49E-20,2.99E-18,0.007362368,0.004078269,0.000600957,0.085943253,0.00329764,0.010102391,0.099256671,0,0.000489452,0.025549008,0,0,0.048463141,0.017397531,0.015612239,0.022673852,0.003381774,0.003527868,0.053432123,0.021283259,0.007693563,0.001039289,0.019712009,0
